ID,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,"N.Asset/N.Premium
(2 yeara ago)",Y0,Y
2013_22896,0,0,-80,0,9717,3.9,-7,-7,74,0,-5,-9,22,109194,62,1761.193548,1,pos
2014_R 22896,0,0,136,0,1871,4.8,-18,-18,77,0,4,-9,11,89047,146,609.9109589,1,pos
2015_22896,0,0,-58,0,1541,4.1,-25,-25,82,0,13,12,-17,66902,62,1079.064516,1,pos
2016_22896,0,0,1,0,1842,3.7,-38,-38,88,0,-4,14,-107,41166,62,663.9677419,1,pos
2017_22896,0,0,0,0,4576,3.6,2,2,87,0,-7,-2,-3,42107,62,679.1451613,1,pos
2006_22896,34,33,75,0,27,3.8,-8,-17,56,0,0,2,4,266109,86605,3.072674788,1,pos
2007_22896,27,26,-19,0,11,4.2,3,-1,59,0,-1,0,2,273644,69868,3.916585561,1,pos
2011_11072,58,1,-16,2,0,2.2,2,2,17,5,0,0,0,15708,201,78.14925373,1,pos
2012_11072,47,1,-21,1,0,1.9,1,1,10,7,0,0,0,15881,158,100.5126582,1,pos
2013_11072,36,1,-26,1,0,1.6,1,1,9,0,0,0,0,15964,117,136.4444444,1,pos
2013_R 11072,37,1,-26,1,0,1.6,0,0,9,0,0,0,0,15858,117,135.5384615,1,pos
2014_R 11072,32,1,-17,1,0,1.4,2,2,9,0,0,0,0,16138,97,166.371134,1,pos
2006_10921,372,36,154,0,62,4.1,5,5,54,13,0,2,0,13687,4948,2.766168149,0,neg
2007_10921,672,66,97,0,72,5.4,9,9,62,10,-2,-1,-3,14877,9766,1.523346304,0,neg
2008_10921,977,97,53,0,86,5.6,4,4,64,28,0,-2,-5,15496,14978,1.034584057,0,neg
2011_10921,1395,138,6,0,103,5.3,-11,-11,132,19,1,-19,-18,15687,21708,0.722636816,1,pos
2012_10921,1417,82,-37,0,101,4.3,7,7,100,0,-2,-3,-6,16804,13723,1.22451359,0,neg
2013_10921,754,42,2,0,81,2.6,101,17,75,0,-1,-3,0,33742,14015,2.407563325,0,neg
2006_42544,234,189,32,0,115,4.2,3,-8,92,0,74,86,79,11019,20808,0.52955594,0,neg
2007_42544,253,232,34,0,106,4.7,9,1,97,0,61,125,97,12008,27842,0.431290856,1,pos
2008_42544,280,212,-8,0,100,5,0,-6,95,0,71,124,65,12066,25638,0.470629534,1,pos
2009_42544,350,289,40,0,101,5,3,-15,97,0,89,151,276,12434,69.46153846,179.0055371,0,neg
2009_12934,6,5,999,0,68,0,999,999,77,0,0,0,0,1023,125.6153846,8.14390692,0,neg
2011_12934,114,52,234,0,73,0,5,-9,94,9,0,0,-3,1183,610,1.939344262,1,pos
2012_12934,213,99,139,0,80,0,25,7,119,50,18,0,12,1479,1459,1.013708019,1,pos
2013_12934,140,17,-81,0,110,0,10,1,88,17,-16,6,-8,1632,277,5.891696751,1,pos
